order_id,customer_id,product_id,quantity,order_date
O00001,C0333,P022,1,2022-01-09
O00002,C0068,P090,1,2022-01-27
O00003,C0483,P021,1,2022-01-17
O00004,C0214,P076,4,2022-01-07
O00005,C0411,P073,4,2022-01-12
O00006,C0093,P079,4,2022-01-23
O00007,C0399,P046,5,2022-01-14
O00008,C0015,P088,2,2022-01-10
O00009,C0248,P063,1,2022-01-06
O00010,C0455,P053,4,2022-01-02
O00011,C0024,P009,3,2022-01-18
O00012,C0336,P041,1,2022-01-16
O00013,C0361,P087,5,2022-01-30
O00014,C0393,P096,5,2022-01-07
O00015,C0371,P073,2,2022-01-23
O00016,C0490,P086,3,2022-01-30
O00017,C0266,P067,5,2022-01-16
O00018,C0049,P056,2,2022-01-11
O00019,C0247,P045,4,2022-01-08
O00020,C0077,P072,5,2022-01-01
O00021,C0028,P002,2,2022-01-01
O00022,C0259,P061,4,2022-01-22
O00023,C0446,P022,1,2022-01-03
O00024,C0385,P063,3,2022-01-30
O00025,C0124,P043,3,2022-01-04
O00026,C0026,P065,2,2022-01-27
O00027,C0282,P083,4,2022-01-19
O00028,C0207,P031,1,2022-01-22
O00029,C0236,P057,5,2022-01-16
O00030,C0230,P012,4,2022-01-05
O00031,C0229,P041,1,2022-01-31
O00032,C0255,P096,1,2022-01-03
O00033,C0053,P052,4,2022-01-25
O00034,C0019,P072,5,2022-01-17
O00035,C0001,P012,5,2022-01-03
O00036,C0494,P080,3,2022-01-24
O00037,C0456,P066,5,2022-01-24
O00038,C0106,P084,4,2022-01-04
O00039,C0487,P044,3,2022-01-29
O00040,C0423,P007,2,2022-01-09
O00041,C0433,P059,3,2022-01-21
O00042,C0287,P099,5,2022-01-08
O00043,C0308,P061,3,2022-01-15
O00044,C0367,P058,1,2022-01-10
O00045,C0050,P098,2,2022-01-09
O00046,C0002,P044,3,2022-01-15
O00047,C0425,P082,3,2022-01-02
O00048,C0281,P067,3,2022-01-04
O00049,C0360,P014,1,2022-01-27
O00050,C0460,P022,4,2022-01-06
O00051,C0072,P092,4,2022-01-28
O00052,C0055,P033,5,2022-01-02
O00053,C0101,P025,1,2022-01-28
O00054,C0477,P051,2,2022-01-10
O00055,C0235,P025,3,2022-01-12
O00056,C0056,P097,4,2022-01-26
O00057,C0024,P082,5,2022-01-22
